season,basin,storm,type,satellite,resolution,image
tc98,IO,07B.NONAME,ssmi,composite,none,19981120.1420.f14.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,19981120.2338.f13.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,19981121.0135.f11.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981120.1054.f13.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981120.1251.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981120.1420.f14.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981120.2338.f13.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981121.0135.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981121.0304.f14.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981121.1237.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981121.1407.f14.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981121.2326.f13.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981122.0121.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981122.0252.f14.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981122.1224.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981123.0108.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981123.0239.f14.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981123.1210.f11.weak.x.NONAME.x.jpg
tc98,IO,06B.NONAME,ssmi,vapor,none,19981115.0115.f11.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981120.0148.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981120.0317.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981120.1054.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981120.1251.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981120.1420.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981120.2338.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981121.0135.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981121.0304.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981121.1237.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981121.1407.ssmi.ir.bd.NONAME.x.jpg
